Year,Film,Language,Director,Writer,Cast,Producer
1984,Meri Adalat,Hindi,,,Rajinikanth,
1984,Naan Mahan Alla,Tamil,,,Rajinikanth,
1984,Thambikku Entha Ooru,Tamil,,,Rajinikanth,
1984,Kai Kodukkum Kai,Tamil,,,Rajinikanth,
1984,Idhe Naa Savaal,Telugu,,,Rajinikanth,
1984,Anbulla Rajinikanth,Tamil,,,Rajinikanth,
1984,Gangvaa,Hindi,,,Rajinikanth,
1984,Nallavanukku Nallavan,Tamil,,,Rajinikanth,
1984,John Jani Janardhan,Hindi,,,Rajinikanth,
1985,Nyayam Meere Cheppali,Telugu,,,Rajinikanth,
1985,Naan Sigappu Manithan,Tamil,,,Rajinikanth,
1985,Mahaguru,Hindi,,,Rajinikanth,
1985,Un Kannil Neer Vazhinthal...,Tamil,,,Rajinikanth,
1985,Wafadaar,Hindi,,,Rajinikanth,
1985,Sri Raghavendrar,Tamil,,,Rajinikanth,
1985,Yaar?,Tamil,,,Rajinikanth,
1985,Bewafai,Hindi,,,Rajinikanth,
1985,Padikkadavan,Tamil,,,Rajinikanth,
1986,Mr. Bharath,Tamil,,,Rajinikanth,
1986,Naan Adimai Illai,Tamil,,,Rajinikanth,
1986,Jeevana Poratam,Telugu,,,Rajinikanth,
1986,Viduthalai,Tamil,,,Rajinikanth,
1986,Bhagwaan Dada,Hindi,,,Rajinikanth,
1986,Kodai Mazhai,Tamil,,,Rajinikanth,
1986,Asli Naqli,Hindi,,,Rajinikanth,
1986,Dosti Dushmani,Hindi,,,Rajinikanth,
1986,Maaveeran,Tamil,,,Rajinikanth,
1987,Daku Hasina,Hindi,,,Rajinikanth,
1987,Velaikaran,Tamil,,,Rajinikanth,
1987,Insaaf Kaun Karega,Hindi,,,Rajinikanth,
1987,Oorkavalan,Tamil,,,Rajinikanth,
1987,Manithan,Tamil,,,Rajinikanth,
1987,Manathil Urudhi Vendum,Tamil,,,Rajinikanth,
1987,Uttar Dakshin,Hindi,,,Rajinikanth,
1988,Tamacha,Hindi,,,Rajinikanth,
1988,Guru Sishyan,Tamil,,,Rajinikanth,
1988,Dharmathin Thalaivan,Tamil,,,Rajinikanth,
1988,Bloodstone,English,,,Rajinikanth,
1988,Kodi Parakkuthu,Tamil,,,Rajinikanth,
1989,Rajadhi Raja,Tamil,,,Rajinikanth,
1989,Gair Kanooni,Hindi,,,Rajinikanth,
1989,Siva,Tamil,,,Rajinikanth,
1989,Raja Chinna Roja,Tamil,,,Rajinikanth,
1989,Mappillai,Tamil,,,Rajinikanth,
1989,Bhrashtachar,Hindi,,,Rajinikanth,
1989,ChaalBaaz,Hindi,,,Rajinikanth,
1990,Panakkaran,Tamil,,,Rajinikanth,
1990,Periya Idathu Pillai,Tamil,,,Rajinikanth,
1990,Athisaya Piravi,Tamil,,,Rajinikanth,
1991,Dharma Durai,Tamil,,,Rajinikanth,
1991,Hum,Hindi,,,Rajinikanth,
1991,Farishtay,Hindi,,,Rajinikanth,
1991,Khoon Ka Karz,Hindi,,,Rajinikanth,
1991,Phool Bane Angaray,Hindi,,,Rajinikanth,
1991,Nattukku Oru Nallavan,Tamil,,,Rajinikanth,
1991,Shanti Kranti,Hindi,,,Rajinikanth,
1991,Thalapathi,Tamil,,,Rajinikanth,
1992,Mannan,Tamil,,,Rajinikanth,
1992,Tyagi,Hindi,,,Rajinikanth,
1992,Annaamalai,Tamil,,,Rajinikanth,
1992,Pandian,Tamil,,,Rajinikanth,
1993,Insaniyat Ke Devta,Hindi,,,Rajinikanth,
1993,Yajaman,Tamil,,,Rajinikanth,
1993,Uzhaippali,Tamil,,,Rajinikanth,
1993,Valli,Tamil,,,Rajinikanth,
1994,Veera,Tamil,,,Rajinikanth,
1995,Baashha,Tamil,,,Rajinikanth,
1995,Pedarayudu,Telugu,,,Rajinikanth,
1995,Aatank Hi Aatank,Hindi,,,Rajinikanth,
1995,Muthu,Tamil,,,Rajinikanth,
1995,Bhagya Debata,Bengali,,,Rajinikanth,
1997,Arunachalam,Tamil,,,Rajinikanth,
1999,Padayappa,Tamil,,,Rajinikanth,
2000,Bulandi,Hindi,,,Rajinikanth,
2002,Baba,Tamil,,,Rajinikanth,
2005,Chandramukhi,Tamil,,,Rajinikanth,
2007,Sivaji: The Boss,Tamil,,,Rajinikanth,
2008,Kuselan,Tamil,,,Rajinikanth,
2008,Kathanayakudu,Telugu,,,Rajinikanth,
2010,Enthiran,Tamil,,,Rajinikanth,
2011,Ra.One,Hindi,,,Rajinikanth,
2014,Kochadaiiyaan,Tamil,,,Rajinikanth,
2014,Lingaa,Tamil,,,Rajinikanth,
2016,Kabali,Tamil,,,Rajinikanth,
2017,Cinema Veeran,Tamil,,,Rajinikanth,
2018,Kaala,Tamil,,,Rajinikanth,
2018,2.0,Tamil,,,Rajinikanth,
2019,Petta,Tamil,,,Rajinikanth,
2020,Darbar,Tamil,,,Rajinikanth,
2021,Annaatthe,Tamil,,,Rajinikanth,
2023,Jailer,Tamil,,,Rajinikanth,
2024,Lal Salaam †,Tamil,,,Rajinikanth,
2024,Thalaivar 170 †,Tamil,,,Rajinikanth,
